127.0.0.1 - - [15/Apr/2024:10:57:37 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:40 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:41 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 200 47732
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:41 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 200 36884
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:41 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 200 45790
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:41 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 200 8888
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:41 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 200 21959
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:41 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 200 122213
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:57:41 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:10 -0500] "GET /carrito/verproductos.jsp?id=CAT001 HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:55 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:55 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:55 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:55 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:55 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:55 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:55 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2024:10:58:57 -0500] "GET /carrito/verproductos.jsp?id=CAT001 HTTP/1.1" 200 1587
