127.0.0.1 - - [30/May/2024:21:34:46 -0500] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [30/May/2024:21:34:47 -0500] "GET /carrito/iniciarsesion.jsp HTTP/1.1" 200 2905
0:0:0:0:0:0:0:1 - - [30/May/2024:21:34:47 -0500] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:00 -0500] "POST /carrito/iniciarsesion.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:00 -0500] "GET /carrito/administrador.jsp HTTP/1.1" 200 2581
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:05 -0500] "GET /carrito/iniciarsesion.jsp HTTP/1.1" 200 2905
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "POST /carrito/iniciarsesion.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 3922
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "GET /carrito/img/liga1.jpg HTTP/1.1" 200 47732
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "GET /carrito/img/premiereleague.jpg HTTP/1.1" 200 36884
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "GET /carrito/img/ligue1.jpg HTTP/1.1" 200 122213
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "GET /carrito/img/laliga.jpg HTTP/1.1" 200 45790
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "GET /carrito/img/seriea.jpg HTTP/1.1" 200 8888
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:13 -0500] "GET /carrito/img/bundesliga.jpg HTTP/1.1" 200 21959
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:20 -0500] "GET /carrito/verproductos.jsp?id=CAT001 HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:20 -0500] "GET /carrito/img/CAM00001.jpg HTTP/1.1" 200 202036
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:20 -0500] "GET /carrito/img/CAM00002.jpg HTTP/1.1" 200 11260
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:20 -0500] "GET /carrito/img/CAM00003.jpg HTTP/1.1" 200 209874
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:20 -0500] "GET /carrito/img/CAM00005.jpg HTTP/1.1" 200 159266
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:20 -0500] "GET /carrito/img/CAM00004.jpg HTTP/1.1" 200 143815
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:20 -0500] "GET /carrito/img/CAM00006.jpg HTTP/1.1" 200 364181
0:0:0:0:0:0:0:1 - - [30/May/2024:21:35:21 -0500] "GET /carrito/index.jsp HTTP/1.1" 200 3922
